event_slug,event_name,pair_id,anchor,smt,n,wr,pf,net_pts,missing
adp,ADP,nq_smt_es,NQ,ES,21,0.3636,1.002,0.2,False
adp,ADP,es_smt_nq,ES,NQ,52,0.6,1.271,16.0,False
adp,ADP,gc_smt_si,GC,SI,59,0.3696,0.813,-14.1,False
adp,ADP,ym_smt_nq,YM,NQ,48,0.475,1.601,230.0,False
adp,ADP,ym_smt_es,YM,ES,43,0.5143,1.615,208.0,False
adp,ADP,es_smt_ym,ES,YM,46,0.5882,1.242,11.5,False
adp,ADP,nq_smt_ym,NQ,YM,50,0.4286,1.244,46.2,False
cb-confidence,CB Confidence,nq_smt_es,NQ,ES,17,0.375,0.757,-38.2,False
cb-confidence,CB Confidence,es_smt_nq,ES,NQ,41,0.6061,1.235,16.8,False
cb-confidence,CB Confidence,gc_smt_si,GC,SI,55,0.5641,1.148,9.4,False
cb-confidence,CB Confidence,ym_smt_nq,YM,NQ,40,0.6,1.463,171.0,False
cb-confidence,CB Confidence,ym_smt_es,YM,ES,38,0.5833,1.38,127.0,False
cb-confidence,CB Confidence,es_smt_ym,ES,YM,37,0.5,0.883,-8.0,False
cb-confidence,CB Confidence,nq_smt_ym,NQ,YM,30,0.4737,0.9,-22.8,False
cpi,CPI,nq_smt_es,NQ,ES,29,0.5385,3.254,975.5,False
cpi,CPI,es_smt_nq,ES,NQ,67,0.5745,4.576,329.0,False
cpi,CPI,gc_smt_si,GC,SI,51,0.6154,3.898,165.5,False
cpi,CPI,ym_smt_nq,YM,NQ,56,0.5897,2.308,734.0,False
cpi,CPI,ym_smt_es,YM,ES,51,0.6471,2.946,831.0,False
cpi,CPI,es_smt_ym,ES,YM,55,0.4878,3.213,184.8,False
cpi,CPI,nq_smt_ym,NQ,YM,58,0.4348,3.606,806.5,False
durable-goods,Durable Goods,nq_smt_es,NQ,ES,19,0.4118,0.838,-45.8,False
durable-goods,Durable Goods,es_smt_nq,ES,NQ,56,0.4872,1.187,14.5,False
durable-goods,Durable Goods,gc_smt_si,GC,SI,65,0.6087,1.776,32.6,False
durable-goods,Durable Goods,ym_smt_nq,YM,NQ,52,0.5714,1.738,214.0,False
durable-goods,Durable Goods,ym_smt_es,YM,ES,50,0.6364,1.951,251.0,False
durable-goods,Durable Goods,es_smt_ym,ES,YM,52,0.5135,1.362,23.5,False
durable-goods,Durable Goods,nq_smt_ym,NQ,YM,54,0.4419,1.257,57.5,False
empirestate,Empire State,nq_smt_es,NQ,ES,18,0.3333,0.428,-107.5,False
empirestate,Empire State,es_smt_nq,ES,NQ,49,0.4737,1.188,9.8,False
